nn,chapter,article,paragraph,name,summ
,,,б, канцелярскіе и хозяйственные расходы,24350
,,2,,"Ветеринарные врачи, фельдшера и служители",1869397
,,3,,Разные расходы по ветеринарной части,43680
,,,,Общіе расходы по управленію,None
38,8,,,Содержаніе мѣстныхъ учрежденій по крестьянскимъ дѣламъ,11143743
,,1,,Губернскія и губернскія по крестьянскимъ дѣламъ присутствія:,1136758
,,,а, личный составъ,716153
,,,б, канцелярскіе и хозяйственные расходы,420605
,,2,,Уѣздныя учрежденія по крестьянскимъ дѣламъ:,10006985
,,,а, личный составъ,8217250
,,,б, канцелярскіе и хозяйственные расходы,1754735
,,,в," суточныя деньги кандидатамъ къ земскимъ начальникамъ, мировымъ посредникамъ и крестьянскимъ чиновникамъ",35000
39,9,,,Наемъ и содержаніе зданій,1555000
,,1,,Наемъ помѣщеній,605000
,,2,,Содержаніе зданій,925000
,,3,,Меблированіе генералъ-губернаторскихъ и губернаторскихъ домовъ,25000
40,10,,,Разные расходы администраціи,3087845
,,1,,Награды и пособія,289349
,,2,,Пособія на воспитаніе дѣтей,83496
,,3,,Путевое довольствіе,1900000
,,4,,Телеграфные расходы,100000
,,5,,Выдачи по мѣстнымъ привилегіямъ службы:,715000
,,,а, путевыя пособія,220000
,,,б, прибавочное жалованье,400000
,,,в, пособія на воспитаніе дѣтей,95000
41,11,,,Разные расходы по управленію,938423
,,1,,Экстраординарные расходы,467255
,,2,,"Заготовленіе продовольственныхъ припасовъ для населенія Приморской, Камчатской, Сахалинской и Якутской областей",57000
,,3,,"Судебныя издержки по уголовнымъ дѣламъ, рѣшаемымъ земскими начальниками и уѣздными съѣздами",10600
,,4,,"Содержаніе памятниковъ, сооруженій и зданій, имѣющихъ историческое значеніе",16068
,,5,,"Работы по провѣркѣ и исправленію государственной границы между Россіею, Пруссіей и Австріей",97100
,,6,,"Расходы, не подлежащіе оглашенію",290400
,,,,"Просвѣщеніе, науки и искусства",None
42,12,,,Содержаніе ученыхъ учрежденій,194232
,,1,,Императогокій Институтъ Экспериментальной Медицины:,194232
,,,а, личный составъ,80392
,,,б, канцелярскіе и хозяйственные расходы,113840
43,13,,,Содержаніе высшихъ учебныхъ заведеній,146306
